type_of_graph,number_of_nodes,number_of_edges,time_Dijkstra_SP,nodesVisited_Dijkstra,time_A*,nodesVisited_A*
random,20000,40000,0.013,1,0.014,1
grid,60000,118940,0.016,12,0.011,9
random,60000,120000,29.368,25665,10.487,11701
grid,80000,158920,0.006,3,0.003,2
random,10000,20000,10.361,1,1.743,1
grid,30000,58970,6.178,18,1.608,9
random,20000,40000,2.406,1,1.833,1
grid,60000,118940,1.911,59,0.287,3
random,60000,120000,791.479,16709,478.772,7973
grid,80000,158920,1.938,41,1.26,20
random,10000,20000,190.993,4580,54.197,1451
grid,30000,58970,0.256,2,0.25,2
random,20000,40000,264.648,5137,48.671,637
grid,60000,118940,1.544,35,0.808,12
random,60000,120000,2462.36,48029,1993.38,48029
grid,80000,158920,2.988,71,1.191,10
random,10000,20000,5.457,8031,6.95262e-310,0
random,10000,20000,5.457,8031,4.587,8031
random,10000,20000,5.457,8031,4.587,8031
grid,30000,58970,0.021,8,0.009,6
random,20000,40000,10.144,12727,6.014,8476
grid,60000,118940,0.043,60,0.039,51
random,10000,20000,3.534,5064,0.653,1090
grid,30000,58970,0.019,29,0.012,15
random,20000,40000,1.342,1839,0.177,342
grid,60000,118940,0.02,21,0.013,13
random,60000,120000,27.979,22388,4.802,5076
grid,80000,158920,0.047,61,0.026,32
random,10000,20000,1.791,2414,0.099,196
grid,30000,58970,0.014,11,0.011,7
random,20000,40000,10.366,11431,9.656,13275
grid,60000,118940,0.031,34,0.02,21
random,60000,120000,0.053,3,6.93513e-310,21
random,60000,120000,0.053,3,0.072,3
random,60000,120000,0.053,3,0.072,3
grid,80000,158920,0.049,62,0.026,33
random,10000,20000,5.176,8014,6.95324e-310,0
random,10000,20000,5.176,8014,4.385,8014
random,10000,20000,5.176,8014,4.385,8014
grid,30000,58970,0.007,4,0.004,3
random,20000,40000,0.013,2,6.94781e-310,3
random,20000,40000,0.013,2,0.014,2
random,20000,40000,0.013,2,0.014,2
grid,60000,118940,0.03,35,0.024,28
random,60000,120000,43.391,37567,8.36,9330
grid,80000,158920,0.041,56,0.014,16
random,10000,20000,2.726,3737,0.657,1395
grid,30000,58970,0.013,11,0.009,6
random,20000,40000,2.609,3270,0.296,657
grid,60000,118940,0.031,39,0.025,28
random,60000,120000,42.455,38040,7.887,9587
grid,80000,158920,0.03,31,0.016,17
random,10000,20000,4.46,6228,1.788,2949
grid,30000,58970,0.02,25,0.018,22
random,20000,40000,4.234,4782,3.618,4733
grid,60000,118940,0.038,41,0.025,23
random,60000,120000,50.846,47967,6.95244e-310,23
random,60000,120000,50.846,47967,48.995,47967
random,60000,120000,50.846,47967,48.995,47967
grid,80000,158920,0.025,21,0.013,11
random,10000,20000,5.625,7894,6.95244e-310,11
random,10000,20000,5.625,7894,4.022,7894
random,10000,20000,5.625,7894,4.022,7894
grid,30000,58970,0.016,13,0.014,15
random,20000,40000,6.952,8398,0.842,1707
grid,60000,118940,0.035,46,0.031,44
random,60000,120000,0.057,2,6.95244e-310,44
random,60000,120000,0.057,2,0.064,2
random,60000,120000,0.057,2,0.064,2
grid,80000,158920,0.034,24,0.009,8
random,10000,20000,11.98,2,1.69677e-313,7
random,10000,20000,11.98,2,1.865,2
random,10000,20000,11.98,2,1.865,2
grid,30000,58970,5.77,20,1.252,12
random,20000,40000,583.687,15434,346.542,9417
grid,60000,118940,1.459,36,0.642,8
random,60000,120000,837.603,16659,169.786,1656
grid,80000,158920,0.583,8,0.277,4
random,10000,20000,381.819,7908,4.30725e-316,4
random,10000,20000,381.819,7908,256.683,7908
random,10000,20000,381.819,7908,256.683,7908
grid,30000,58970,0.967,21,0.666,10
random,20000,40000,675.229,15812,4.30725e-316,10
random,20000,40000,675.229,15812,656.626,15812
random,20000,40000,675.229,15812,656.626,15812
grid,60000,118940,1.233,22,0.906,12
random,60000,120000,602.472,10745,1326.97,27955
grid,80000,158920,1.477,23,0.321,2
random,10000,20000,0.026,1,6.95291e-310,0
random,10000,20000,0.026,1,0.007,1
random,10000,20000,0.026,1,0.007,1
grid,30000,58970,0.018,18,0.012,11
random,20000,40000,0.37,519,0.024,19
grid,60000,118940,0.042,58,0.016,10
random,60000,120000,18.687,16804,5.497,6775
grid,80000,158920,0.042,54,0.02,17
random,10000,20000,0.009,1,6.91084e-310,17
random,10000,20000,0.009,1,0.008,1
random,10000,20000,0.009,1,0.008,1
grid,30000,58970,0.015,13,0.008,7
random,20000,40000,0.407,516,0.032,19
grid,60000,118940,0.042,58,0.02,18
random,60000,120000,12.533,11248,1.208,1668
grid,80000,158920,0.053,76,0.025,27
random,10000,20000,0.58,835,0.048,84
grid,30000,58970,0.018,28,0.007,4
random,20000,40000,1.839,2507,0.854,1472
grid,60000,118940,0.01,6,0.008,5
random,60000,120000,0.067,1,6.9068e-310,5
random,60000,120000,0.067,1,0.068,1
random,60000,120000,0.067,1,0.068,1
grid,80000,158920,0.029,26,0.011,9
random,10000,20000,0.591,836,0.051,82
grid,30000,58970,0.021,29,0.011,10
random,20000,40000,0.145,176,0.049,53
grid,60000,118940,0.027,27,0.013,9
random,60000,120000,31.274,27370,15.987,18593
grid,80000,158920,0.003,1,0.001,1
random,10000,20000,0.691,953,0.166,274
grid,30000,58970,0.015,14,0.014,14
random,20000,40000,10.85,14375,0.49,890
grid,60000,118940,0.049,52,0.022,21
random,60000,120000,16.105,11394,3.872,3579
grid,80000,158920,0.009,4,0.004,3
random,10000,20000,1.992,2643,0.61,1030
grid,30000,58970,0.02,23,0.011,9
random,20000,40000,0.012,1,6.94634e-310,9
random,20000,40000,0.012,1,0.015,1
random,20000,40000,0.012,1,0.015,1
grid,60000,118940,0.033,36,0.021,12
random,60000,120000,4.873,4539,1.473,1786
grid,80000,158920,0.009,4,0.004,3
random,10000,20000,3.863,5333,1.64,2528
grid,30000,58970,0.019,10,0.008,5
random,20000,40000,5.883,7632,4.68,6981
grid,60000,118940,0.02,15,0.013,10
random,60000,120000,0.041,1,6.9028e-310,10
random,60000,120000,0.041,1,0.06,1
random,60000,120000,0.041,1,0.06,1
grid,80000,158920,0.022,9,0.006,4
random,10000,20000,4.232,5363,1.596,2570
grid,30000,58970,0.015,14,0.008,5
random,20000,40000,6.292,7701,4.346,7026
grid,60000,118940,0.02,14,0.013,10
random,60000,120000,0.045,1,6.9028e-310,10
random,60000,120000,0.045,1,0.061,1
random,60000,120000,0.045,1,0.061,1
grid,80000,158920,0.034,31,0.016,15
random,10000,20000,2.38,3257,0.365,724
grid,30000,58970,0.022,29,0.02,26
random,20000,40000,5.998,7733,3.453,4862
grid,60000,118940,0.025,25,0.013,9
random,60000,120000,0.04,7,6.94271e-310,9
random,60000,120000,0.04,7,0.045,7
random,60000,120000,0.04,7,0.045,7
grid,80000,158920,0.017,11,0.003,3
random,10000,20000,2.281,3236,0.349,719
grid,30000,58970,0.028,29,0.015,24
random,20000,40000,5.945,7759,3.297,4818
grid,60000,118940,0.024,23,0.012,9
random,60000,120000,0.046,7,6.94271e-310,9
random,60000,120000,0.046,7,0.046,7
random,60000,120000,0.046,7,0.046,7
grid,80000,158920,0.047,63,0.015,12
random,10000,20000,5.249,7800,3.902,6938
grid,30000,58970,0.019,22,0.009,6
random,20000,40000,2.267,3006,0.882,1576
grid,60000,118940,0.019,16,0.01,6
random,60000,120000,13.815,11914,24.237,22969
grid,80000,158920,0.039,47,0.022,26
random,10000,20000,1.023,1423,0.026,49
grid,30000,58970,0.018,21,0.008,4
random,20000,40000,2.837,3058,0.959,1582
grid,60000,118940,0.031,38,0.013,11
random,60000,120000,10.876,9460,7.545,11858
grid,80000,158920,0.019,14,0.006,7
random,10000,20000,55.287,252,4.067,99
grid,30000,58970,1.959,12,0.454,12
random,20000,40000,1.071,1,4.30725e-316,12
random,20000,40000,1.071,1,1.125,1
random,20000,40000,1.071,1,1.125,1
grid,60000,118940,0.187,2,0.204,2
random,60000,120000,1039.36,21839,187.821,1789
grid,80000,158920,0.153,2,0.138,2
random,10000,20000,219.972,5528,60.646,1849
grid,30000,58970,0.762,17,0.392,4
random,20000,40000,638.38,15867,4.30725e-316,4
random,20000,40000,638.38,15867,539.759,15867
random,20000,40000,638.38,15867,539.759,15867
grid,60000,118940,1.192,19,0.963,11
random,60000,120000,508.702,8047,239.578,2450
grid,80000,158920,1.11,13,0.409,5
random,10000,20000,2.665,3689,0.669,1147
grid,30000,58970,0.012,9,0.008,5
random,20000,40000,3.951,5069,1.307,2192
grid,60000,118940,0.009,5,0.005,3
random,60000,120000,2.293,2149,0.127,95
grid,80000,158920,0.04,47,0.009,9
random,10000,20000,2.468,3558,0.588,1114
grid,30000,58970,0.012,10,0.008,4
random,20000,40000,4.031,5159,1.163,2268
grid,60000,118940,0.01,5,0.005,3
random,60000,120000,2.125,2140,0.134,95
grid,80000,158920,0.047,69,0.007,6
random,10000,20000,4.434,6163,0.21,375
grid,30000,58970,0.01,5,0.006,3
random,20000,40000,4.384,5646,1.081,1710
grid,60000,118940,0.014,9,0.017,14
random,60000,120000,0.044,1,0.06,1
grid,80000,158920,0.038,37,0.012,10
random,10000,20000,4.871,6235,0.185,385
grid,30000,58970,0.01,5,0.006,3
random,20000,40000,4.625,5668,1.001,1718
grid,60000,118940,0.017,12,0.02,18
random,60000,120000,0.042,1,0.06,1
grid,80000,158920,0.025,18,0.008,7
random,10000,20000,4.605,6631,2.362,4293
grid,30000,58970,0.011,8,0.006,3
random,20000,40000,12.542,15950,9.958,15950
grid,60000,118940,0.035,57,0.009,6
random,60000,120000,52.798,47841,39.049,47841
grid,80000,158920,0.019,12,0.018,16
random,10000,20000,4.512,6630,2.127,4209
grid,30000,58970,0.012,9,0.004,3
random,20000,40000,12.674,15950,8.616,15950
grid,60000,118940,0.039,57,0.01,6
random,60000,120000,37.263,29015,4.63,5670
grid,80000,158920,0.008,3,0.003,2
random,10000,20000,0.024,1,0.007,1
grid,30000,58970,0.011,9,0.008,5
random,20000,40000,11.453,15866,10.57,15866
grid,60000,118940,0.002,1,0.002,1
random,60000,120000,48.498,47888,46.519,47888
grid,80000,158920,0.044,66,0.015,15
random,10000,20000,0.007,1,0.006,1
grid,30000,58970,0.011,8,0.006,3
random,20000,40000,13.875,15866,13.101,15866
grid,60000,118940,0.003,1,0.003,1
random,60000,120000,56.271,47888,56.597,47888
grid,80000,158920,0.05,76,0.015,15
random,10000,20000,1.102,1708,0.294,570
grid,30000,58970,0.019,30,0.006,5
random,20000,40000,3.752,4992,1.812,2794
grid,60000,118940,0.039,58,0.025,29
random,60000,120000,11.49,10149,6.656,6800
grid,80000,158920,0.049,73,0.027,32
random,10000,20000,1.397,1702,0.327,574
grid,30000,58970,0.018,20,0.015,16
random,20000,40000,10.454,12473,3.098,4733
grid,60000,118940,0.037,46,0.027,28
random,60000,120000,0.067,5,0.077,5
grid,80000,158920,0.024,18,0.009,8
random,10000,20000,0.017,1,0.007,1
grid,30000,58970,0.016,18,0.01,8
random,10000,20000,170.962,3212,60.359,1635
grid,30000,58970,1.825,10,0.322,7
random,20000,40000,333.55,8152,319.931,7602
grid,60000,118940,1.989,60,0.721,14
random,60000,120000,1837.49,39790,980.128,20253
grid,80000,158920,1.368,17,1.077,8
random,10000,20000,0.876,1,4.63,1
grid,30000,58970,0.88,20,0.473,7
random,20000,40000,178.84,3428,17.131,259
grid,60000,118940,1.922,42,1.11,18
random,60000,120000,904.203,16687,169.567,611
grid,80000,158920,2.42,55,1.554,29
random,10000,20000,5.257,7977,4.215,7977
grid,30000,58970,0.018,26,0.012,12
random,20000,40000,8.519,10746,0.819,1391
grid,60000,118940,0.02,17,0.009,6
random,60000,120000,17.516,15447,5.274,6524
grid,80000,158920,0.032,38,0.007,6
random,10000,20000,0.978,1387,0.259,490
grid,30000,58970,0.021,30,0.014,13
random,20000,40000,12.314,15996,8.945,15996
grid,60000,118940,0.012,7,0.007,4
random,60000,120000,21.161,19244,4.75,6160
grid,80000,158920,0.034,35,0.007,6
random,10000,20000,5.4,7972,4.865,7972
grid,30000,58970,0.002,1,0.001,1
random,20000,40000,11.978,15981,10.674,15981
grid,60000,118940,0.025,24,0.026,30
random,60000,120000,16.82,16097,16.003,16097
grid,80000,158920,0.051,74,0.021,22
random,10000,20000,5.73,7972,4.805,7972
grid,30000,58970,0.001,1,0.001,1
random,20000,40000,12.659,15981,10.152,15981
grid,60000,118940,0.022,19,0.01,9
random,60000,120000,0.049,1,0.049,1
grid,80000,158920,0.047,63,0.021,23
random,10000,20000,4.435,6120,1.651,2843
grid,30000,58970,0.019,26,0.01,8
random,20000,40000,0.012,1,0.012,1
grid,60000,118940,0.02,15,0.007,3
random,60000,120000,0.376,393,0.133,84
grid,80000,158920,0.046,63,0.006,6
random,10000,20000,5.683,7920,4.873,7920
grid,30000,58970,0.02,22,0.01,8
random,20000,40000,0.014,1,0.012,1
grid,60000,118940,0.022,17,0.006,3
random,60000,120000,0.046,1,0.065,1
grid,80000,158920,0.042,63,0.007,7
random,10000,20000,6.521,6960,4.481,5869
grid,30000,58970,0.011,8,0.006,3
random,20000,40000,0.013,1,0.012,1
grid,60000,118940,0.021,21,0.008,5
random,60000,120000,36.027,33396,25.741,22895
grid,80000,158920,0.046,70,0.021,26
random,10000,20000,4.19,5726,1.663,2674
grid,30000,58970,0.028,8,0.006,3
random,20000,40000,11.513,14363,4.154,6856
grid,60000,118940,0.032,17,0.015,5
