type_of_graph,number_of_nodes,number_of_edges,time_Dijkstra_SP,nodesVisited_Dijkstra,time_A*,nodesVisited_A*
random,20000,40000,6.95,8759,3.016,4197
grid,60000,118940,0.01,6,0.003,2
random,60000,120000,25.867,23148,1.22,971
grid,80000,158920,0.035,36,0.02,19
random,10000,20000,4.937,6259,1.059,2032
grid,30000,58970,0.02,25,0.016,17
random,20000,40000,0.252,331,0.081,132
grid,60000,118940,0.012,7,0.003,3
random,60000,120000,27.174,23190,0.696,988
grid,80000,158920,0.061,76,0.034,46
random,10000,20000,0.024,2,0.008,2
grid,30000,58970,0.013,10,0.004,2
random,20000,40000,4.759,6314,2.606,3816
grid,60000,118940,0.035,46,0.015,11
random,60000,120000,24.785,19561,2.532,3039
grid,80000,158920,0.033,35,0.009,9
random,10000,20000,0.008,2,0.009,2
grid,30000,58970,0.019,14,0.003,2
random,20000,40000,5.197,6226,2.642,3713
grid,60000,118940,0.045,46,0.013,11
random,60000,120000,22.886,19537,2.553,3078
grid,80000,158920,0.015,8,0.005,4
random,10000,20000,249.108,5270,125.103,3314
grid,30000,58970,2.267,27,0.624,17
random,20000,40000,603.959,15758,653.427,15758
grid,60000,118940,1.285,28,0.485,7
random,60000,120000,2148.55,47703,1887.81,47703
grid,80000,158920,1.065,13,0.494,4
random,10000,20000,54.207,1242,17.872,383
grid,30000,58970,0.649,14,0.556,13
random,20000,40000,675.802,15953,696.793,15953
grid,60000,118940,1.01,12,1,13
random,60000,120000,2366.65,46893,1046.67,20713
grid,80000,158920,1.855,35,0.75,5
random,10000,20000,320.114,7916,250.689,7916
grid,30000,58970,5.995,10,0.574,9
random,20000,40000,471.6,11830,474.612,11830
grid,60000,118940,0.399,5,0.548,6
random,60000,120000,1918.42,41977,1796.78,33972
grid,80000,158920,1.73,36,1.803,9
random,10000,20000,241.356,5811,68.692,1193
grid,30000,58970,0.266,2,0.317,2
random,20000,40000,662.604,15019,617.888,13594
grid,60000,118940,0.981,15,1.019,16
random,60000,120000,1605.38,30218,926.847,17690
grid,80000,158920,2.439,57,1.106,13
random,10000,20000,331.796,8038,245.989,8038
grid,30000,58970,6.59,13,0.547,12
random,20000,40000,0.802,2,15.338,2
grid,60000,118940,1.274,4,0.222,3
random,60000,120000,2123.7,47751,2131.5,47751
grid,80000,158920,2.862,71,1.644,28
random,10000,20000,1.023,1,5.539,1
grid,30000,58970,0.687,13,0.3,4
random,20000,40000,317.636,6563,169.291,5257
grid,60000,118940,1.461,29,0.306,3
random,60000,120000,2210.46,42852,337.629,4961
grid,80000,158920,2.698,76,1.942,40
random,10000,20000,2.765,3697,1.07,1512
grid,30000,58970,0.001,1,0.001,1
random,10000,20000,1.896,2745,0.326,495
grid,30000,58970,0.012,10,0.006,3
random,20000,40000,11.586,15874,11.315,15874
grid,60000,118940,0.05,51,0.009,6
random,60000,120000,0.049,1,0.046,1
grid,80000,158920,0.017,11,0.004,3
random,10000,20000,1.962,2721,0.291,490
grid,30000,58970,0.012,11,0.006,3
random,20000,40000,12.66,15874,10.306,15874
grid,60000,118940,0.036,51,0.01,6
random,60000,120000,0.045,1,0.05,1
grid,80000,158920,0.02,14,0.003,3
random,10000,20000,0.91,1227,0.43,676
grid,30000,58970,0.008,4,0.006,3
random,20000,40000,3.481,4423,2.541,3369
grid,60000,118940,0.03,37,0.016,13
random,10000,20000,2.712,3873,0.779,1117
grid,30000,58970,0.02,15,0.012,16
random,20000,40000,0.058,82,0.03,32
grid,60000,118940,0.009,5,0.003,2
random,60000,120000,20.486,17710,3.198,3261
grid,80000,158920,0.03,30,0.013,13
random,10000,20000,0.008,5,0.007,5
grid,30000,58970,0.016,16,0.005,2
random,20000,40000,3.787,4662,2.837,3316
grid,60000,118940,0.011,7,0.003,2
random,10000,20000,0.015,1,0.006,1
grid,30000,58970,0.019,25,0.014,6
random,20000,40000,4.049,4038,0.218,245
grid,60000,118940,0.025,22,0.01,7
random,10000,20000,0.118,171,0.041,64
grid,30000,58970,0.009,5,0.006,3
random,20000,40000,0.012,1,0.013,1
grid,60000,118940,0.021,21,0.021,11
random,60000,120000,46.652,47686,46.506,47686
grid,80000,158920,0.054,59,0.032,44
random,10000,20000,5.16,7615,1.577,2913
grid,30000,58970,0.006,3,0.006,4
random,20000,40000,2.936,3260,1.508,2001
grid,60000,118940,0.036,49,0.033,39
random,60000,120000,33.807,31712,13.156,15211
grid,80000,158920,0.041,60,0.032,44
random,10000,20000,5.415,7929,2.233,3218
grid,30000,58970,0.012,7,0.01,9
random,20000,40000,6.671,8219,4.368,5095
grid,60000,118940,0.012,8,0.008,5
random,10000,20000,5.174,8002,5.361,8002
grid,30000,58970,0.019,22,0.007,5
random,20000,40000,12.035,16067,10.98,16067
grid,60000,118940,0.038,55,0.019,18
random,60000,120000,37.743,37263,3.91,4191
grid,80000,158920,0.027,24,0.008,7
random,10000,20000,0.939,1460,0.529,808
grid,30000,58970,0.019,25,0.006,3
random,20000,40000,2.51,3411,0.409,594
grid,60000,118940,0.035,56,0.022,22
random,60000,120000,13.088,12279,5.353,5410
grid,80000,158920,0.026,23,0.007,7
random,10000,20000,3.127,4342,1.973,2580
grid,30000,58970,0.021,30,0.018,22
random,20000,40000,8.514,10844,6.593,7755
grid,60000,118940,0.013,8,0.011,6
random,60000,120000,52.829,47839,46.873,47839
grid,80000,158920,0.013,6,0.005,4
random,10000,20000,4.097,5495,1.935,3137
grid,30000,58970,0.022,29,0.013,12
random,20000,40000,0.013,1,0.013,1
grid,60000,118940,0.024,23,0.017,16
random,60000,120000,29.326,23705,19.2,18475
grid,80000,158920,0.013,6,0.006,5
random,10000,20000,2.945,4354,0.546,925
grid,30000,58970,0.015,17,0.012,12
random,20000,40000,1.426,1910,0.38,574
grid,60000,118940,0.037,54,0.009,6
random,60000,120000,43.065,42865,22.537,23118
grid,80000,158920,0.042,65,0.012,11
random,10000,20000,5.227,7994,5.142,7994
grid,30000,58970,0.021,30,0.011,11
random,20000,40000,11.571,14098,1.697,2630
grid,60000,118940,0.038,54,0.009,6
random,60000,120000,42.991,42696,20.302,23116
grid,80000,158920,0.044,66,0.011,12
random,10000,20000,291.457,7362,53.652,1433
grid,30000,58970,2.12,19,0.41,8
random,20000,40000,171.95,3451,26.081,669
grid,60000,118940,1.938,53,1.087,20
random,60000,120000,1972.88,43022,724.11,12301
grid,80000,158920,1.134,15,0.798,7
random,10000,20000,301.34,8021,268.091,8021
grid,30000,58970,0.637,11,0.427,6
random,20000,40000,715.291,15984,557.7,15984
grid,60000,118940,2.187,59,1.117,18
random,60000,120000,2441.74,48009,2565.73,48009
grid,80000,158920,0.743,9,0.554,4
