type_of_graph,number_of_nodes,number_of_edges,time_Dijkstra_SP,nodesVisited_Dijkstra,time_A*,nodesVisited_A*
grid,80000,317840,66.883,79955,44.481,55963
random,10000,20000,2.29,3086,1.324,2067
grid,30000,117940,21.469,29928,10.396,16828
random,20000,40000,12.049,14549,11.626,13566
grid,60000,237880,50.288,59918,32.885,46063
random,60000,120000,8.166,7172,1.013,1068
grid,80000,317840,61.962,79925,24.604,33691
random,10000,20000,3.909,5942,0.227,414
grid,30000,117940,15.456,29989,2.794,4954
random,20000,40000,3.462,4727,0.844,1258
grid,60000,237880,45.043,59780,17.543,23745
random,60000,120000,0.04,1,0.067,1
grid,80000,317840,64.179,79645,35.851,48576
random,10000,20000,0.007,1,0.007,1
grid,30000,117940,17.186,29917,5.439,9368
random,20000,40000,0.011,1,0.012,1
grid,60000,237880,42.818,59817,30.344,43165
random,60000,120000,38.933,36941,19.465,19248
grid,80000,317840,59.803,79993,1.091,1430
